review_text,rating,review_date,bank_id,bank_name
good app,5,2025-10-02,com.combanketh.mobilebanking,CBE
imoo,3,2025-10-02,com.combanketh.mobilebanking,CBE
"it was good since it become a robber the vat ,tax,service charge,unbelievable charge to send to other bank, monthly charge,etc i hope one international bank comes and we all leave this bank. enough is enough",1,2025-10-02,com.combanketh.mobilebanking,CBE
screen shoot always not allowed why?,5,2025-10-02,com.combanketh.mobilebanking,CBE
enkorabetalen,5,2025-10-01,com.combanketh.mobilebanking,CBE
good,5,2025-10-01,com.combanketh.mobilebanking,CBE
Gamada mahamadi,1,2025-10-01,com.combanketh.mobilebanking,CBE
it is very good banking web but its network is sometimes busy i hope they willfix the problem,4,2025-09-30,com.combanketh.mobilebanking,CBE
verfcasencod,5,2025-09-30,com.combanketh.mobilebanking,CBE
you can't get your own transaction history,1,2025-09-29,com.combanketh.mobilebanking,CBE
sintu,5,2025-09-29,com.combanketh.mobilebanking,CBE
BEST,5,2025-09-28,com.combanketh.mobilebanking,CBE
Bank of Ethiopia,5,2025-09-28,com.combanketh.mobilebanking,CBE
"All most Good, but need improvement",5,2025-09-27,com.combanketh.mobilebanking,CBE
"Great application for me,So I would like to rate with Solid 5 star.That It works well overall. So hello everyone enjoy the apps",5,2025-09-27,com.combanketh.mobilebanking,CBE
poor app all of you guys delete CBE and download BOA,1,2025-09-27,com.combanketh.mobilebanking,CBE
niceapp,5,2025-09-27,com.combanketh.mobilebanking,CBE
good,5,2025-09-26,com.combanketh.mobilebanking,CBE
good,5,2025-09-25,com.combanketh.mobilebanking,CBE
the best app of all,5,2025-09-25,com.combanketh.mobilebanking,CBE
❤️,5,2025-09-25,com.combanketh.mobilebanking,CBE
"Most of the time when I try to open the app, it does not load. The circle keeps spinning as if it is trying to open, and get a message saying "" 2 attempts left for offline login"". This seems to mean that the app cannot connect to the internet, even though I have a stable internet connection, and all other stuff work properly.",2,2025-09-24,com.combanketh.mobilebanking,CBE
Juhaar,5,2025-09-24,com.combanketh.mobilebanking,CBE
I am using CBE app very fantastic.,5,2025-09-24,com.combanketh.mobilebanking,CBE
bist app tankyou,4,2025-09-23,com.combanketh.mobilebanking,CBE
this is very useful and consistent app,5,2025-09-23,com.combanketh.mobilebanking,CBE
"this application provides timely service in a good, fast and reliable manner.",5,2025-09-23,com.combanketh.mobilebanking,CBE
So good,5,2025-09-23,com.combanketh.mobilebanking,CBE
it will be more better if the app have the feature receipt verifying from QR CODE SCREENSHOT IMAGES FROM gallery ... currently IT WORKS ONLY FROM DIRECT CAMERA CAPTURING,4,2025-09-23,com.combanketh.mobilebanking,CBE
